system:index,Class,Image,mod_area,mod_bgr_post,mod_bgr_pre,rap_area,rap_bgr_post,rap_bgr_pre,.geo
0000000000000000118b_0000000000000000118b,1,1,2493.5541361795317,1177.332565782767,1222.5928472674543,2491.5161366256,316.1239596491969,445.53089264326405,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000118c_0000000000000000118c,1,1,2492.829036524211,1332.471187600331,1413.8255645624538,2488.2273228320855,646.115663050478,769.7681607820671,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000118d_0000000000000000118d,1,1,2489.9613343428327,1981.5415800888454,2051.695691599525,2486.101545166445,1488.7632572232908,1566.139968468995,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000118e_0000000000000000118e,1,1,2476.638267892144,1737.3556109475048,1697.209621937781,2489.1562766132874,955.0190698502031,905.2525269762791,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000118f_0000000000000000118f,1,1,2489.5674170940565,1405.3362197355864,1467.912381573507,2485.4158036765616,753.9697406581975,823.7820044848395,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001190_00000000000000001190,1,1,2492.741428803627,1490.0881187025045,1499.6133576299267,2490.7312223917243,865.9712243788704,1042.9416528288205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001191_00000000000000001191,1,1,2481.374928131125,614.083347455518,698.1145251283144,2491.982584620045,47.77006770641016,75.03937474351838,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001192_00000000000000001192,1,1,2490.9630562162956,799.7614062475988,743.6531062341087,2488.907384285915,316.756551272056,390.0735624281916,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001193_00000000000000001193,1,1,2471.896114091597,597.1336194340565,578.9120003512381,2483.0271348861356,166.78661626652715,181.98844313877916,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001194_00000000000000001194,1,1,2477.8559918596784,1023.237613908868,983.269355987048,2488.462783054403,464.9493910812321,537.9657471669418,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001195_00000000000000001195,1,1,2490.055064996938,1667.597490019555,1701.98509957217,2486.1352141397138,987.5147552611513,1019.2596243113996,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001196_00000000000000001196,1,1,2489.7834357031356,1484.2069334781181,1567.9471293543077,2485.666077455772,450.2474693413109,482.9773011028727,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001197_00000000000000001197,1,1,2492.0701516681966,869.0006728809645,891.7110506831187,2488.1929816788866,219.26184328958152,229.1026355425674,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001198_00000000000000001198,1,1,2492.239584756447,895.1062531723348,1033.8683241533445,2488.3915138302054,444.2199117390527,622.8147478960611,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001199_00000000000000001199,1,1,2488.859841109057,1383.0030788511913,1463.8552594259968,2486.9009078676972,804.0457775505104,905.7968393388227,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000119a_0000000000000000119a,1,1,2493.1524321951592,496.1757052337169,553.8904163242579,2489.4031850944,56.95238685157741,95.37552580289562,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000119b_0000000000000000119b,1,1,2474.808108267462,1319.7624747296443,1319.2502413473903,2485.256780463672,731.95071008913,689.9242758780522,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000119c_0000000000000000119c,1,1,2476.002992979474,2225.4711470082907,2124.1097004820494,2486.5929751295967,658.303525415786,732.4030814846732,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000119d_0000000000000000119d,1,1,2474.890241597728,1198.7602815622906,1248.4856390150405,2487.1907710087025,318.8621404279932,372.3686048968922,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000119e_0000000000000000119e,1,1,2491.9769505009117,477.8061053852632,450.03051272002415,2490.0651923683713,135.8050842753043,153.97482852100282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000119f_0000000000000000119f,1,1,2495.559739860611,774.3953077209048,960.178022685072,2493.509713042537,286.2607491773186,533.8210865190086,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011a0_000000000000000011a0,1,1,2454.0244423314953,727.4124147256705,899.8407700611208,2472.458412571326,206.5300157053437,235.7947302221536,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011a1_000000000000000011a1,1,1,2401.972531430766,658.23189188121,802.5538742416841,2382.66169365795,42.89839279270728,63.34454716849316,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011a2_000000000000000011a2,1,1,2492.7863773943086,917.7292080125095,1045.8620595188177,2489.0027641513534,220.8346727423377,253.13948347507727,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011a3_000000000000000011a3,1,1,2475.4702759145384,1895.5035395964671,1755.083247765758,2487.391918218876,1041.733257493367,1068.1341016789472,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011a4_000000000000000011a4,1,1,2492.491940458033,1023.5234879285564,1112.2810964054815,2488.675780939878,362.1442740053148,533.7563205676092,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011a5_000000000000000011a5,1,1,2492.9623343795975,1215.0639279293955,1304.1966063569853,2489.189447181293,573.0721871404089,736.2525562250909,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011a6_000000000000000011a6,1,1,2493.441912660847,787.9264485397191,748.7245631061814,2489.3518961776626,186.94951992551674,248.00020195378647,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011a7_000000000000000011a7,1,1,2496.4157466697225,1028.125814082224,979.9351957372563,2492.6647835767376,112.59425445418553,213.82370877533435,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011a8_000000000000000011a8,1,1,2493.4623675337,777.2717781667798,825.165236779754,2455.635292380404,130.33895809056685,181.95016077378938,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011a9_000000000000000011a9,1,1,2496.3411291115253,829.3582192386017,795.3702347488912,2494.3809942700454,197.9447280307562,197.67760846530126,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011aa_000000000000000011aa,1,1,2489.8733190778125,1737.0879613805516,1728.4323812416515,2486.1054862237975,943.739797294493,1052.0388880283176,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011ab_000000000000000011ab,1,1,2474.5375577037526,1012.068932194048,1081.7394611189025,2485.2193155190903,666.9934883850265,668.709701343058,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011ac_000000000000000011ac,1,1,2475.2590009742753,2044.3724272934242,1977.35073457551,2485.334819379863,676.3058472391824,623.4452450681654,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011ad_000000000000000011ad,1,1,2491.397201078431,1380.334560720281,1353.4479612229177,2489.4058882898444,1031.0355537854289,1083.0554507563456,"{""type"":""MultiPoint"",""coordinates"":[]}"
